Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Muskmelon,-41.47,-20.2,-52.24,-0.195
Muskmelon,-40.75,-19.24,-75.75,-0.102
Muskmelon,-63.86,-24.98,-54.39,-0.138
Muskmelon,-55.96,-18.24,-63.49,-0.12
Muskmelon,-68.35,-24.74,-59.07,-0.124
Muskmelon,-44.38,-15.05,-77.6,-0.177
Muskmelon,-43.29,-21.42,-63.19,-0.127
Muskmelon,-69.0,-19.62,-68.36,-0.139
Muskmelon,-63.66,-18.87,-69.03,-0.116
Muskmelon,-48.05,-17.3,-59.04,-0.105
Muskmelon,-43.33,-21.58,-70.77,-0.118
Muskmelon,-41.33,-16.59,-53.29,-0.129
Muskmelon,-68.88,-17.87,-57.74,-0.159
Muskmelon,-65.29,-15.84,-51.05,-0.194
Muskmelon,-56.61,-23.92,-51.57,-0.189
Muskmelon,-67.09,-21.63,-69.95,-0.155
Muskmelon,-57.87,-16.26,-65.54,-0.147
Muskmelon,-40.92,-22.38,-72.9,-0.129
Muskmelon,-43.56,-16.23,-56.53,-0.197
Muskmelon,-53.64,-18.47,-68.24,-0.184
Muskmelon,-40.51,-15.19,-54.29,-0.175
Muskmelon,-50.26,-16.75,-76.84,-0.101
Muskmelon,-51.31,-18.24,-58.98,-0.156
Muskmelon,-50.26,-23.72,-66.62,-0.156
Muskmelon,-65.09,-17.58,-64.47,-0.188
Muskmelon,-64.28,-20.87,-54.76,-0.116
Muskmelon,-64.24,-23.48,-76.04,-0.166
Muskmelon,-40.24,-24.59,-54.7,-0.101
Muskmelon,-53.14,-17.61,-57.3,-0.157
Muskmelon,-40.15,-21.85,-50.03,-0.165
Muskmelon,-63.32,-24.2,-64.34,-0.175
Muskmelon,-64.46,-18.98,-75.49,-0.106
Muskmelon,-43.45,-17.84,-53.39,-0.184
Muskmelon,-60.92,-20.27,-55.91,-0.153
Muskmelon,-42.81,-20.57,-50.78,-0.141
Muskmelon,-43.51,-21.72,-50.15,-0.188
Muskmelon,-69.06,-15.83,-57.96,-0.139
Muskmelon,-65.36,-23.16,-57.56,-0.131
Muskmelon,-52.43,-17.32,-62.96,-0.146
Muskmelon,-45.73,-17.2,-52.48,-0.123
Muskmelon,-67.15,-17.87,-55.21,-0.164
Muskmelon,-59.02,-17.45,-71.48,-0.186
Muskmelon,-47.53,-16.39,-72.38,-0.166
Muskmelon,-61.52,-24.23,-68.5,-0.198
Muskmelon,-44.41,-20.17,-52.4,-0.125
Muskmelon,-54.1,-23.31,-73.4,-0.145
Muskmelon,-56.65,-15.62,-76.42,-0.144
Muskmelon,-64.26,-23.32,-78.18,-0.139
Muskmelon,-66.26,-23.81,-72.82,-0.159
Muskmelon,-66.64,-15.36,-56.62,-0.137
Muskmelon,-42.66,-18.23,-79.15,-0.188
Muskmelon,-62.02,-16.87,-74.18,-0.153
Muskmelon,-56.03,-22.19,-78.74,-0.118
Muskmelon,-65.73,-20.95,-75.74,-0.133
Muskmelon,-40.42,-18.99,-76.32,-0.121
Muskmelon,-49.37,-16.73,-50.29,-0.176
Muskmelon,-60.61,-19.18,-50.19,-0.133
Muskmelon,-52.01,-16.79,-53.72,-0.163
Muskmelon,-65.19,-16.47,-76.55,-0.121
Muskmelon,-63.95,-19.76,-70.5,-0.188
Muskmelon,-55.63,-24.51,-77.51,-0.113
Muskmelon,-50.13,-19.92,-53.44,-0.126
Muskmelon,-49.86,-22.99,-57.47,-0.16
Muskmelon,-48.43,-18.65,-79.5,-0.157
Muskmelon,-55.59,-23.69,-74.02,-0.136
Muskmelon,-61.98,-22.2,-64.89,-0.182
Muskmelon,-42.79,-21.64,-59.34,-0.153
Muskmelon,-53.4,-17.51,-53.82,-0.137
Muskmelon,-68.24,-19.8,-51.05,-0.198
Muskmelon,-41.07,-18.24,-57.65,-0.137
Muskmelon,-62.51,-18.92,-74.35,-0.111
Muskmelon,-61.98,-17.85,-60.39,-0.186
Muskmelon,-64.1,-16.39,-68.12,-0.113
Muskmelon,-49.42,-17.56,-63.61,-0.106
Muskmelon,-45.82,-17.28,-77.89,-0.162
Muskmelon,-66.2,-15.46,-69.11,-0.167
Muskmelon,-68.56,-22.04,-70.1,-0.145
Muskmelon,-53.77,-24.01,-54.45,-0.145
Muskmelon,-40.56,-24.56,-52.85,-0.131
Muskmelon,-59.3,-20.34,-72.46,-0.169
Muskmelon,-63.84,-23.6,-77.66,-0.149
Muskmelon,-49.3,-16.1,-57.95,-0.185
Muskmelon,-43.3,-15.0,-71.05,-0.198
Muskmelon,-69.92,-22.16,-70.74,-0.133
Muskmelon,-68.82,-18.55,-73.37,-0.193
Muskmelon,-51.57,-15.62,-68.09,-0.132
Muskmelon,-67.42,-18.43,-53.75,-0.105
Muskmelon,-58.7,-21.84,-61.49,-0.101
Muskmelon,-63.52,-19.13,-67.8,-0.147
Muskmelon,-45.78,-20.07,-66.64,-0.101
Muskmelon,-62.4,-24.66,-52.38,-0.173
Muskmelon,-57.46,-17.16,-76.47,-0.167
Muskmelon,-42.38,-15.48,-54.17,-0.117
Muskmelon,-55.72,-24.79,-52.6,-0.17
Muskmelon,-50.62,-18.67,-71.72,-0.147
Muskmelon,-64.23,-24.6,-53.06,-0.157
Muskmelon,-48.31,-18.84,-74.16,-0.191
Muskmelon,-61.72,-17.38,-55.48,-0.148
Muskmelon,-40.44,-16.97,-57.41,-0.185
Muskmelon,-57.99,-17.22,-62.72,-0.121
Muskmelon,-58.46,-24.15,-71.22,-0.177
Muskmelon,-55.43,-15.42,-65.83,-0.116
Muskmelon,-52.27,-21.21,-64.69,-0.124
Muskmelon,-67.8,-15.88,-62.33,-0.143
Muskmelon,-51.35,-23.37,-66.57,-0.135
Muskmelon,-48.55,-24.28,-53.02,-0.18
Muskmelon,-53.11,-21.79,-70.43,-0.114
Muskmelon,-64.83,-22.28,-75.4,-0.129
Muskmelon,-64.0,-23.49,-50.23,-0.166
Muskmelon,-59.06,-20.57,-55.09,-0.164
Muskmelon,-62.04,-15.33,-61.76,-0.189
Muskmelon,-43.26,-24.53,-61.9,-0.103
Muskmelon,-50.87,-16.21,-78.9,-0.177
Muskmelon,-63.33,-17.85,-70.39,-0.1
Muskmelon,-62.88,-23.5,-54.04,-0.109
Muskmelon,-60.96,-20.68,-67.95,-0.116
Muskmelon,-58.24,-24.78,-68.72,-0.136
Muskmelon,-43.69,-15.58,-72.02,-0.17
Muskmelon,-54.23,-20.48,-57.11,-0.118
Muskmelon,-68.12,-19.19,-69.29,-0.192
Muskmelon,-62.02,-22.95,-59.57,-0.101
Muskmelon,-51.36,-22.32,-78.2,-0.195
Muskmelon,-41.47,-16.89,-63.23,-0.11
Muskmelon,-57.32,-15.73,-79.62,-0.116
Muskmelon,-45.43,-19.84,-67.88,-0.144
Muskmelon,-61.43,-22.51,-52.62,-0.196
Muskmelon,-60.16,-20.04,-51.61,-0.119
Muskmelon,-63.1,-24.15,-69.66,-0.142
Muskmelon,-48.86,-23.19,-60.65,-0.137
Muskmelon,-43.78,-15.33,-62.88,-0.113
Muskmelon,-65.67,-20.77,-76.2,-0.165
Muskmelon,-53.05,-18.34,-53.56,-0.12
Watermelon,-54.27,-23.04,-64.05,-0.187
Watermelon,-51.67,-20.36,-50.02,-0.173
Watermelon,-54.29,-23.32,-75.01,-0.187
Watermelon,-42.1,-21.14,-62.57,-0.184
Watermelon,-56.98,-20.32,-64.65,-0.117
Watermelon,-41.73,-17.56,-76.11,-0.166
Watermelon,-53.11,-17.63,-74.41,-0.161
Watermelon,-48.97,-15.16,-54.11,-0.162
Watermelon,-62.64,-21.69,-72.9,-0.102
Watermelon,-63.36,-18.26,-63.4,-0.113
Watermelon,-41.61,-22.81,-62.57,-0.16
Watermelon,-41.7,-23.31,-50.29,-0.133
Watermelon,-48.43,-20.02,-79.21,-0.161
Watermelon,-43.6,-18.79,-70.53,-0.121
Watermelon,-68.02,-16.58,-51.94,-0.1
Watermelon,-49.03,-16.49,-58.61,-0.14
Watermelon,-48.71,-17.44,-56.7,-0.194
Watermelon,-61.3,-18.75,-69.91,-0.154
Watermelon,-49.47,-23.13,-52.97,-0.123
Watermelon,-54.02,-15.26,-75.3,-0.186
Watermelon,-44.95,-19.94,-66.45,-0.108
Watermelon,-41.68,-24.34,-70.54,-0.129
Watermelon,-49.55,-20.86,-64.58,-0.169
Watermelon,-68.39,-23.29,-62.18,-0.103
Watermelon,-49.52,-21.15,-57.01,-0.172
Watermelon,-57.31,-23.65,-53.07,-0.188
Watermelon,-59.01,-18.34,-76.05,-0.172
Watermelon,-45.06,-22.86,-50.84,-0.152
Watermelon,-45.06,-16.62,-78.93,-0.166
Watermelon,-69.22,-20.6,-66.08,-0.16
Watermelon,-52.55,-23.23,-78.62,-0.178
Watermelon,-69.47,-22.23,-56.74,-0.173
Watermelon,-51.4,-20.14,-65.46,-0.124
Watermelon,-67.23,-21.21,-53.81,-0.104
Watermelon,-53.97,-19.88,-63.56,-0.102
Watermelon,-41.24,-18.39,-53.73,-0.155
Watermelon,-60.48,-24.41,-74.38,-0.101
Watermelon,-56.97,-16.89,-75.28,-0.119
Watermelon,-54.31,-20.15,-69.03,-0.122
Watermelon,-54.0,-24.02,-75.43,-0.195
Watermelon,-57.92,-19.68,-58.15,-0.168
Watermelon,-64.37,-22.87,-74.55,-0.196
Watermelon,-69.73,-21.57,-63.73,-0.192
Watermelon,-42.12,-19.23,-61.18,-0.139
Watermelon,-66.63,-20.69,-77.81,-0.165
Watermelon,-51.02,-21.51,-60.05,-0.113
Watermelon,-66.68,-17.75,-57.06,-0.104
Watermelon,-52.45,-23.02,-65.87,-0.155
Watermelon,-57.45,-19.25,-69.18,-0.127
Watermelon,-43.65,-24.5,-62.94,-0.196
Watermelon,-62.74,-17.04,-73.15,-0.139
Watermelon,-67.74,-23.95,-61.33,-0.156
Watermelon,-43.39,-22.91,-60.08,-0.117
Watermelon,-60.72,-15.4,-52.89,-0.193
Watermelon,-53.94,-19.44,-73.57,-0.149
Watermelon,-43.88,-24.84,-50.4,-0.157
Watermelon,-59.98,-24.06,-74.16,-0.141
Watermelon,-62.66,-15.23,-77.91,-0.189
Watermelon,-56.38,-18.3,-58.09,-0.101
Watermelon,-65.69,-20.63,-56.39,-0.158
Watermelon,-56.68,-22.33,-67.88,-0.134
Watermelon,-53.95,-17.12,-67.06,-0.198
Watermelon,-40.42,-16.29,-75.86,-0.171
Watermelon,-52.8,-24.53,-58.81,-0.154
Watermelon,-61.35,-18.78,-59.04,-0.104
Watermelon,-49.45,-17.0,-67.69,-0.111
Watermelon,-43.25,-24.6,-57.54,-0.135
Watermelon,-64.99,-20.91,-77.88,-0.142
Watermelon,-54.85,-19.65,-66.09,-0.106
Watermelon,-48.7,-16.61,-65.31,-0.164
Watermelon,-60.97,-20.05,-59.73,-0.145
Watermelon,-62.42,-16.62,-56.84,-0.143
Watermelon,-60.49,-20.74,-52.69,-0.194
Watermelon,-46.47,-21.92,-56.77,-0.144
Watermelon,-61.62,-21.46,-75.59,-0.188
Watermelon,-46.96,-20.0,-76.28,-0.108
Watermelon,-44.98,-22.29,-58.58,-0.198
Watermelon,-54.46,-23.71,-64.36,-0.106
Watermelon,-50.49,-20.63,-71.93,-0.199
Watermelon,-57.47,-17.91,-58.93,-0.149
Watermelon,-69.31,-23.57,-75.66,-0.132
Watermelon,-48.58,-22.02,-63.21,-0.13
Watermelon,-64.4,-22.34,-51.97,-0.126
Watermelon,-52.21,-23.22,-79.53,-0.166
Watermelon,-41.49,-16.97,-54.81,-0.11
Watermelon,-44.43,-16.15,-53.84,-0.107
Watermelon,-52.64,-24.77,-76.55,-0.198
Watermelon,-54.27,-21.14,-77.61,-0.139
Watermelon,-40.86,-24.67,-75.52,-0.163
Watermelon,-40.14,-19.23,-71.47,-0.156
Watermelon,-57.82,-19.8,-74.0,-0.194
Watermelon,-69.19,-19.48,-62.42,-0.174
Watermelon,-65.55,-19.51,-79.79,-0.164
Watermelon,-62.99,-24.31,-74.5,-0.104
Watermelon,-66.55,-17.14,-56.08,-0.164
Watermelon,-56.61,-21.9,-71.21,-0.184
Watermelon,-59.1,-17.57,-52.9,-0.187
Watermelon,-59.13,-19.33,-75.83,-0.159
Watermelon,-64.81,-19.17,-55.03,-0.131
Watermelon,-45.59,-25.0,-70.95,-0.112
Watermelon,-66.87,-21.6,-65.79,-0.19
Watermelon,-46.73,-19.56,-53.75,-0.152
Watermelon,-40.23,-20.26,-54.1,-0.112
Watermelon,-44.31,-17.11,-73.96,-0.184
Watermelon,-40.84,-15.55,-63.26,-0.174
Watermelon,-60.09,-17.95,-62.68,-0.172
Watermelon,-66.92,-20.61,-71.23,-0.158
Watermelon,-45.0,-23.84,-69.95,-0.137
Watermelon,-43.14,-20.48,-79.29,-0.137
Watermelon,-43.22,-18.65,-67.84,-0.165
Watermelon,-67.85,-16.49,-73.67,-0.133
Watermelon,-69.57,-21.67,-52.08,-0.184
Watermelon,-54.11,-19.15,-72.34,-0.147
Watermelon,-50.34,-22.66,-75.62,-0.103
Watermelon,-67.78,-24.61,-77.8,-0.113
Watermelon,-51.39,-16.19,-59.15,-0.19
Watermelon,-67.35,-19.07,-74.93,-0.147
Watermelon,-55.75,-17.45,-53.9,-0.197
Watermelon,-59.88,-16.19,-75.47,-0.12
Watermelon,-61.59,-16.51,-68.09,-0.148
Watermelon,-42.67,-15.77,-74.26,-0.142
Watermelon,-60.25,-19.66,-76.09,-0.132
Watermelon,-66.07,-20.57,-65.46,-0.133
Watermelon,-64.33,-16.62,-54.5,-0.179
Watermelon,-69.24,-20.86,-69.45,-0.163
Watermelon,-45.7,-18.8,-75.52,-0.12
Watermelon,-44.99,-22.41,-76.92,-0.124
Watermelon,-62.63,-18.88,-56.74,-0.194
Watermelon,-40.35,-24.68,-66.95,-0.12
Watermelon,-48.66,-23.13,-72.92,-0.166
Watermelon,-63.04,-16.28,-71.96,-0.18
Watermelon,-41.31,-22.71,-72.47,-0.126
Watermelon,-64.11,-22.06,-76.51,-0.136
Watermelon,-60.35,-16.2,-69.09,-0.171
Watermelon,-47.42,-19.65,-71.94,-0.192
Watermelon,-68.67,-20.52,-79.77,-0.131
Watermelon,-59.63,-22.94,-66.09,-0.156
Watermelon,-50.98,-18.12,-57.25,-0.169
Watermelon,-54.49,-22.74,-65.59,-0.136
Watermelon,-67.57,-18.37,-54.7,-0.123
Watermelon,-45.01,-23.8,-65.14,-0.119
Watermelon,-53.64,-16.2,-66.12,-0.125
Watermelon,-45.45,-19.13,-59.85,-0.158
Watermelon,-55.96,-22.22,-61.91,-0.188
Watermelon,-54.27,-20.57,-68.01,-0.122
Watermelon,-63.64,-19.85,-50.8,-0.158
Watermelon,-54.85,-17.62,-60.83,-0.177
Watermelon,-59.4,-17.83,-55.63,-0.108
Watermelon,-64.02,-16.36,-59.44,-0.18
Watermelon,-65.9,-16.14,-72.07,-0.172
Watermelon,-67.55,-24.5,-79.66,-0.177
Watermelon,-47.13,-22.66,-69.26,-0.16
Watermelon,-46.26,-15.72,-56.15,-0.175
Watermelon,-54.12,-16.68,-70.84,-0.139
Watermelon,-64.83,-21.71,-78.15,-0.142
Watermelon,-48.21,-17.05,-68.31,-0.162
Watermelon,-43.66,-24.36,-75.86,-0.188
Watermelon,-69.47,-24.24,-67.34,-0.171
Watermelon,-59.73,-23.58,-53.09,-0.152
Watermelon,-43.13,-15.39,-60.72,-0.152
Watermelon,-60.73,-17.73,-50.28,-0.17
Watermelon,-53.73,-22.37,-51.23,-0.169
Watermelon,-58.82,-23.07,-70.39,-0.138
Watermelon,-56.81,-19.91,-65.54,-0.107
Watermelon,-68.53,-23.38,-59.21,-0.15
Watermelon,-69.53,-20.06,-53.51,-0.118
Watermelon,-50.2,-16.1,-75.24,-0.135
Watermelon,-51.99,-18.6,-74.86,-0.193
Watermelon,-47.72,-23.15,-74.55,-0.184
Watermelon,-69.04,-18.04,-60.14,-0.103
Watermelon,-55.21,-24.32,-58.34,-0.195
Watermelon,-41.18,-17.33,-68.57,-0.106
Watermelon,-44.72,-15.58,-67.5,-0.12
Watermelon,-65.32,-20.45,-71.65,-0.141
Watermelon,-40.7,-15.31,-69.67,-0.131
Watermelon,-40.67,-19.95,-59.33,-0.112
Watermelon,-42.83,-21.47,-79.15,-0.158
Watermelon,-44.57,-24.66,-62.93,-0.197
Watermelon,-47.53,-16.07,-77.31,-0.171
Watermelon,-50.52,-24.61,-78.77,-0.151
Watermelon,-67.48,-22.07,-66.44,-0.125
Watermelon,-61.02,-17.31,-65.1,-0.15
Watermelon,-49.79,-17.19,-76.69,-0.183
Watermelon,-54.64,-21.63,-64.08,-0.106
Watermelon,-43.06,-21.5,-51.62,-0.2
Watermelon,-57.57,-22.46,-79.56,-0.184
Watermelon,-53.53,-21.45,-51.11,-0.124
Watermelon,-40.54,-18.36,-66.05,-0.165
Watermelon,-50.13,-19.31,-63.45,-0.173
Watermelon,-62.46,-19.6,-71.88,-0.14
Watermelon,-64.4,-23.01,-50.87,-0.159
Watermelon,-49.98,-21.26,-77.75,-0.154
Watermelon,-48.19,-18.58,-58.13,-0.152
Watermelon,-65.23,-16.62,-73.9,-0.163
Watermelon,-62.33,-20.74,-63.9,-0.109
Watermelon,-62.21,-23.77,-68.64,-0.156
Watermelon,-60.72,-23.61,-50.91,-0.137
Watermelon,-43.67,-16.69,-75.08,-0.104
Watermelon,-61.63,-19.85,-70.57,-0.103
Watermelon,-50.72,-16.68,-69.98,-0.136
Papaya,-72.9,-21.97,-85.55,-0.224
Papaya,-55.88,-17.59,-74.84,-0.122
Papaya,-52.89,-18.61,-78.22,-0.24
Papaya,-50.12,-18.43,-80.05,-0.171
Papaya,-70.38,-17.97,-79.18,-0.275
Papaya,-57.67,-20.17,-61.51,-0.159
Papaya,-78.53,-18.25,-87.8,-0.117
Papaya,-53.96,-16.25,-76.8,-0.269
Papaya,-65.95,-22.07,-85.44,-0.282
Papaya,-71.09,-22.41,-98.22,-0.149
Papaya,-55.78,-20.97,-77.92,-0.239
Papaya,-73.29,-19.56,-99.9,-0.221
Papaya,-60.55,-23.58,-99.06,-0.15
Papaya,-50.59,-21.1,-75.2,-0.197
Papaya,-74.86,-17.79,-61.0,-0.158
Papaya,-53.69,-16.86,-82.71,-0.142
Papaya,-73.76,-18.8,-96.77,-0.164
Papaya,-79.63,-16.44,-89.11,-0.114
Papaya,-72.5,-23.01,-97.62,-0.177
Papaya,-70.6,-19.27,-64.52,-0.228
Papaya,-51.34,-16.24,-93.81,-0.163
Papaya,-58.35,-21.39,-70.55,-0.177
Papaya,-79.06,-15.17,-93.05,-0.208
Papaya,-67.62,-24.22,-93.73,-0.13
Papaya,-62.67,-20.2,-90.42,-0.123
Papaya,-71.02,-21.79,-73.11,-0.176
Papaya,-61.61,-17.38,-64.04,-0.23
Papaya,-57.39,-22.66,-68.97,-0.158
Papaya,-61.19,-19.82,-69.43,-0.281
Papaya,-77.49,-22.09,-99.02,-0.198
Papaya,-79.01,-17.04,-85.02,-0.265
Papaya,-74.57,-22.39,-84.54,-0.111
Papaya,-62.91,-23.15,-90.08,-0.141
Papaya,-51.33,-20.36,-77.35,-0.195
Papaya,-70.75,-16.13,-85.89,-0.176
Papaya,-57.31,-17.02,-87.86,-0.197
Papaya,-66.78,-23.32,-97.18,-0.219
Papaya,-56.65,-19.33,-73.6,-0.268
Papaya,-72.62,-17.02,-63.94,-0.222
Papaya,-71.06,-18.93,-70.73,-0.183
Papaya,-78.11,-19.22,-60.39,-0.138
Papaya,-69.44,-22.74,-95.04,-0.13
Papaya,-78.17,-17.79,-63.95,-0.285
Papaya,-56.93,-20.93,-67.29,-0.281
Papaya,-77.5,-24.15,-86.64,-0.227
Papaya,-76.76,-24.32,-95.09,-0.207
Papaya,-52.3,-23.56,-66.97,-0.235
Papaya,-56.11,-21.33,-93.31,-0.104
Papaya,-70.23,-17.06,-77.12,-0.275
Papaya,-74.08,-15.69,-70.48,-0.144
Papaya,-71.96,-23.29,-65.16,-0.224
Papaya,-70.2,-22.08,-97.18,-0.119
Papaya,-53.7,-24.58,-87.48,-0.259
Papaya,-52.96,-18.87,-76.37,-0.104
Papaya,-73.09,-19.94,-75.55,-0.158
Papaya,-62.71,-20.58,-63.84,-0.115
Papaya,-67.82,-18.11,-61.6,-0.189
Papaya,-73.05,-21.18,-67.81,-0.23
Papaya,-71.99,-22.47,-88.24,-0.209
Papaya,-78.1,-24.47,-66.66,-0.179
Papaya,-75.76,-21.93,-91.47,-0.238
Papaya,-51.93,-18.34,-80.22,-0.225
Papaya,-54.0,-22.09,-71.68,-0.155
Papaya,-66.06,-20.0,-64.27,-0.198
Papaya,-63.75,-15.73,-85.73,-0.203
Papaya,-68.7,-23.7,-70.07,-0.159
Papaya,-57.68,-20.06,-81.13,-0.231
Papaya,-78.46,-19.35,-86.64,-0.184
Papaya,-54.47,-22.22,-96.4,-0.245
Papaya,-74.61,-18.1,-73.18,-0.109
Papaya,-75.79,-21.3,-90.27,-0.174
Papaya,-68.19,-22.32,-76.61,-0.265
Papaya,-68.21,-15.31,-97.62,-0.138
Papaya,-52.95,-20.52,-77.58,-0.152
Papaya,-67.8,-24.55,-60.13,-0.255
Papaya,-64.3,-18.26,-73.3,-0.291
Papaya,-55.06,-21.97,-73.62,-0.118
Papaya,-56.11,-22.1,-76.0,-0.219
Papaya,-66.32,-16.2,-71.27,-0.17
Papaya,-50.1,-21.77,-90.31,-0.201
Papaya,-56.41,-24.39,-88.03,-0.2
Papaya,-75.39,-15.69,-60.58,-0.242
Papaya,-59.22,-17.1,-76.14,-0.146
Papaya,-55.43,-18.09,-99.09,-0.138
Papaya,-79.35,-24.04,-82.95,-0.289
Papaya,-73.18,-23.55,-99.47,-0.149
Papaya,-61.93,-24.79,-97.28,-0.269
Papaya,-65.12,-17.79,-74.01,-0.229
Papaya,-61.14,-19.16,-90.65,-0.261
Papaya,-52.94,-18.74,-95.21,-0.12
Papaya,-76.78,-21.97,-73.2,-0.164
Papaya,-59.78,-24.21,-92.29,-0.162
Papaya,-66.63,-23.0,-76.99,-0.297
Papaya,-69.78,-22.15,-79.31,-0.142
Papaya,-78.02,-18.72,-63.56,-0.238
Papaya,-58.56,-17.4,-64.58,-0.159
Papaya,-60.08,-15.73,-91.47,-0.216
Papaya,-56.51,-24.48,-80.97,-0.144
Papaya,-59.63,-20.2,-79.83,-0.12
Papaya,-70.62,-20.89,-79.13,-0.118
Papaya,-70.41,-24.78,-76.5,-0.266
Papaya,-67.18,-19.78,-73.99,-0.264
Papaya,-79.13,-22.09,-68.53,-0.241
Papaya,-61.99,-20.41,-90.76,-0.24
Papaya,-68.7,-23.37,-78.27,-0.15
Papaya,-59.81,-24.92,-68.49,-0.241
Papaya,-61.55,-20.24,-90.78,-0.214
Papaya,-62.06,-24.32,-88.87,-0.236
Papaya,-52.74,-15.5,-66.05,-0.195
Papaya,-50.8,-20.28,-71.2,-0.262
Papaya,-53.21,-17.1,-74.03,-0.157
Papaya,-65.43,-21.7,-80.35,-0.187
Papaya,-77.78,-15.98,-71.47,-0.242
Papaya,-61.41,-17.75,-93.53,-0.289
Papaya,-58.02,-15.83,-97.66,-0.198
Papaya,-57.49,-23.2,-76.96,-0.127
Papaya,-72.89,-22.77,-73.97,-0.15
Papaya,-64.36,-22.94,-86.68,-0.133
Papaya,-76.36,-21.97,-92.53,-0.141
Papaya,-78.61,-23.7,-66.58,-0.116
Papaya,-67.99,-19.71,-83.96,-0.12
Papaya,-57.84,-19.27,-94.1,-0.258
Papaya,-51.32,-24.48,-66.92,-0.227
Papaya,-67.96,-17.78,-73.25,-0.127
Papaya,-79.87,-18.93,-85.72,-0.174
Papaya,-72.65,-20.85,-99.18,-0.292
Papaya,-67.06,-19.48,-71.14,-0.224
Papaya,-77.1,-22.34,-63.24,-0.121
Papaya,-52.8,-15.77,-90.09,-0.202
Papaya,-71.57,-20.45,-62.05,-0.174
Papaya,-51.53,-23.6,-71.62,-0.284
Papaya,-55.08,-15.66,-90.85,-0.143
Papaya,-62.6,-18.86,-75.99,-0.177
Papaya,-66.39,-19.68,-79.56,-0.264
Papaya,-64.77,-22.11,-75.8,-0.108
Papaya,-69.01,-23.76,-60.95,-0.128
Papaya,-70.91,-23.08,-98.34,-0.271
Papaya,-70.52,-23.04,-74.08,-0.124
Papaya,-53.9,-20.01,-99.8,-0.228
Papaya,-67.63,-24.5,-67.75,-0.224
Papaya,-59.3,-24.59,-97.72,-0.106
Papaya,-52.06,-15.26,-69.37,-0.204
Papaya,-61.19,-18.55,-76.31,-0.134
Papaya,-51.51,-20.82,-80.09,-0.244
Papaya,-75.25,-18.01,-69.32,-0.292
Papaya,-66.87,-22.0,-72.6,-0.205
Papaya,-57.08,-17.94,-63.7,-0.135
Papaya,-79.29,-16.22,-61.09,-0.205
Papaya,-76.02,-24.58,-94.13,-0.284
Papaya,-68.31,-17.77,-75.43,-0.174
Papaya,-66.19,-16.46,-83.53,-0.174
Papaya,-50.11,-17.64,-72.83,-0.215
Papaya,-51.42,-21.9,-81.99,-0.239
Papaya,-55.19,-24.01,-69.81,-0.132
Papaya,-62.18,-21.92,-98.08,-0.187
Papaya,-58.01,-18.48,-86.86,-0.158
Papaya,-56.56,-18.91,-72.07,-0.158
Papaya,-60.44,-23.75,-99.64,-0.103
Papaya,-52.52,-19.32,-68.25,-0.299
Papaya,-67.29,-20.96,-96.2,-0.194
Papaya,-69.19,-23.16,-85.0,-0.218
Papaya,-69.38,-17.44,-63.35,-0.279
Papaya,-63.71,-23.59,-72.79,-0.191
Papaya,-68.97,-20.78,-83.51,-0.115
Papaya,-50.06,-20.67,-71.65,-0.174
Papaya,-52.07,-23.52,-67.95,-0.281
Papaya,-57.59,-20.98,-75.22,-0.217
Papaya,-67.42,-21.91,-92.29,-0.291
Papaya,-56.46,-21.12,-74.81,-0.185
Papaya,-65.66,-19.33,-61.69,-0.174
Papaya,-68.18,-23.28,-75.69,-0.188
Papaya,-52.54,-16.26,-82.41,-0.233
Papaya,-52.35,-15.27,-72.58,-0.145
Papaya,-51.95,-20.64,-91.0,-0.231
Papaya,-76.91,-21.44,-60.18,-0.117
Papaya,-68.75,-17.71,-62.68,-0.203
Papaya,-58.98,-23.74,-94.93,-0.298
Papaya,-58.25,-17.95,-66.63,-0.195
Papaya,-69.67,-19.6,-85.13,-0.126
Papaya,-58.7,-19.92,-72.86,-0.144
Papaya,-75.12,-19.81,-91.23,-0.252
Papaya,-51.82,-17.67,-74.0,-0.285
Papaya,-69.64,-17.38,-86.23,-0.221
Papaya,-55.11,-15.52,-64.53,-0.235
Papaya,-71.3,-19.24,-72.91,-0.188
Papaya,-72.67,-17.06,-90.69,-0.118
Papaya,-79.57,-15.5,-68.5,-0.129
Papaya,-57.84,-23.22,-73.46,-0.217
Papaya,-73.05,-17.14,-96.87,-0.263
Papaya,-57.73,-15.69,-78.2,-0.283
Papaya,-57.66,-19.68,-78.33,-0.161
Papaya,-75.97,-23.91,-69.46,-0.144
Papaya,-75.77,-16.7,-92.64,-0.203
Papaya,-77.52,-18.31,-86.04,-0.278
Papaya,-65.87,-15.61,-95.99,-0.265
Papaya,-73.36,-16.02,-68.37,-0.255
Papaya,-52.51,-24.43,-99.03,-0.179
Papaya,-76.34,-21.28,-75.25,-0.159
Papaya,-56.59,-21.43,-90.92,-0.11
Papaya,-51.36,-15.2,-80.94,-0.291
